mouse_genome_reads,AAV_genome_reads,vg_dg,modification,capsid,weeks,mouse,tissue,filter_type,ratio,ratio_n
32204556,110,11.39,K27ac,2,12 weeks p.i.,1,liver,all_reads,3.4156657834375982e-6,2.9988286070567147e-7
16128384,56,11.39,K27ac,2,12 weeks p.i.,1,liver,no_duplicates,3.4721395522328833e-6,3.0484104936197393e-7
6021500,30,11.39,K27ac,2,12 weeks p.i.,1,liver,no_dup+nuc_sized,4.982147305488665e-6,4.374141620270997e-7
11173824,64,11.39,K27ac,2,12 weeks p.i.,1,liver,nuc_sized,5.727672102227492e-6,5.028684900989896e-7
41169404,150,18.52,K27ac,2,12 weeks p.i.,2,liver,all_reads,3.643482426901298e-6,1.9673231246767268e-7
19066520,70,18.52,K27ac,2,12 weeks p.i.,2,liver,no_duplicates,3.671356912535691e-6,1.9823741428378462e-7
10564860,48,18.52,K27ac,2,12 weeks p.i.,2,liver,no_dup+nuc_sized,4.543363565631726e-6,2.4532200678357054e-7
21879806,100,18.52,K27ac,2,12 weeks p.i.,2,liver,nuc_sized,4.5704244361216e-6,2.467831768964147e-7
79974068,246,13.64,K27ac,2,12 weeks p.i.,3,liver,all_reads,3.075997084454926e-6,2.2551298273129956e-7
36018390,116,13.64,K27ac,2,12 weeks p.i.,3,liver,no_duplicates,3.22057704411552e-6,2.361126865187331e-7
23082450,80,13.64,K27ac,2,12 weeks p.i.,3,liver,no_dup+nuc_sized,3.4658365988012537e-6,2.5409359228748195e-7
49571614,160,13.64,K27ac,2,12 weeks p.i.,3,liver,nuc_sized,3.2276536325809362e-6,2.366314979898047e-7
100881278,312,10.92,K27ac,2,2 weeks p.i.,1,liver,all_reads,3.0927443246704307e-6,2.8321834475003946e-7
39170494,148,10.92,K27ac,2,2 weeks p.i.,1,liver,no_duplicates,3.7783541866998154e-6,3.460031306501662e-7
26752102,88,10.92,K27ac,2,2 weeks p.i.,1,liver,no_dup+nuc_sized,3.2894611421562313e-6,3.012327053256622e-7
66089132,194,10.92,K27ac,2,2 weeks p.i.,1,liver,nuc_sized,2.935429686079097e-6,2.6881224231493565e-7
69731130,142,20.94,K27ac,2,2 weeks p.i.,2,liver,all_reads,2.0363932149098975e-6,9.724895964230647e-8
31736516,62,20.94,K27ac,2,2 weeks p.i.,2,liver,no_duplicates,1.953585579463102e-6,9.32944402799953e-8
