AAV,start,end,Sample,guppy_01,guppy_02,nanopolish_01,nanopolish_02,megalodon_01,megalodon_02,tombo_01,tombo_02,deepsignal_01,deepsignal_02,annotation
CMV,146,147,liver,50,100,NA,NA,NA,0,NA,NA,NA,NA,NA
CMV,207,208,liver,25,0,NA,NA,NA,0,0,NA,NA,NA,NA
CMV,248,249,liver,25,0,NA,NA,NA,0,NA,NA,NA,NA,NA
CMV,355,356,liver,50,0,NA,NA,NA,0,NA,0,NA,NA,NA
CMV,394,395,liver,50,0,NA,NA,NA,0,NA,NA,NA,NA,NA
CMV,522,523,liver,50,0,NA,NA,NA,0,NA,NA,NA,NA,NA
CMV,543,544,liver,50,0,NA,NA,NA,0,NA,NA,0,NA,NA
CMV,568,569,liver,50,0,NA,NA,NA,0,NA,NA,0,NA,NA
CMV,621,622,liver,50,100,NA,NA,NA,0,NA,NA,0,NA,NA
CMV,646,647,liver,50,0,NA,NA,NA,0,NA,0,0,NA,NA
CMV,649,650,liver,50,0,NA,NA,NA,0,NA,0,0,NA,NA
CMV,663,664,liver,50,0,NA,NA,NA,0,NA,NA,0,NA,NA
CMV,798,799,liver,50,0,NA,NA,NA,0,NA,NA,0,NA,NA
CMV,848,849,liver,50,0,NA,NA,NA,0,NA,0,100,NA,NA
CMV,909,910,liver,50,NA,NA,NA,NA,NA,NA,0,0,NA,NA
CMV,912,913,liver,50,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
CMV,938,939,liver,50,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CMV,952,953,liver,100,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CMV,1103,1104,liver,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMV,1178,1179,liver,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMV,1212,1213,liver,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMV,1416,1417,liver,50,NA,NA,NA,NA,0,NA,100,NA,NA,NA
CMV,1452,1453,liver,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CMV,1461,1462,liver,25,NA,NA,NA,NA,0,NA,0,NA,NA,NA
CMV,1544,1545,liver,25,NA,NA,NA,0,0,NA,NA,0,NA,NA
CMV,1566,1567,liver,16.6666666666667,NA,NA,NA,0,0,NA,NA,0,NA,NA
CMV,1587,1588,liver,16.6666666666667,0,NA,NA,0,0,NA,NA,0,NA,NA
CMV,1599,1600,liver,66.6666666666667,0,NA,NA,0,0,NA,NA,0,NA,NA
CMV,1632,1633,liver,16.6666666666667,0,NA,NA,0,0,NA,NA,0,NA,NA
CMV,1685,1686,liver,16.6666666666667,50,NA,NA,0,0,NA,NA,0,NA,NA
CMV,1733,1734,liver,16.6666666666667,0,NA,NA,0,0,NA,0,100,NA,NA
CMV,1750,1751,liver,16.6666666666667,0,NA,NA,0,0,NA,0,0,NA,NA
CMV,1761,1762,liver,25,50,NA,NA,NA,0,NA,NA,0,NA,NA
