AAV,start,end,Sample,replicate,annotation,tool,Methylation
CMV,2002,2003,liver,01,ITR,guppy,4.54545454545455
CMV,2004,2005,liver,01,ITR,guppy,4.34782608695652
CMV,2008,2009,liver,01,ITR,guppy,4.34782608695652
CMV,2012,2013,liver,01,ITR,guppy,2.38095238095238
CMV,2025,2026,liver,01,ITR,guppy,2
CMV,2029,2030,liver,01,ITR,guppy,10.5454545454545
CMV,2040,2041,liver,01,ITR,guppy,10.4166666666667
CMV,2044,2045,liver,01,ITR,guppy,8.52272727272727
CMV,2047,2048,liver,01,ITR,guppy,16.5064102564103
CMV,2051,2052,liver,01,ITR,guppy,2.5
CMV,2062,2063,liver,01,ITR,guppy,10.6206896551724
CMV,2066,2067,liver,01,ITR,guppy,8.57245337159254
CMV,2079,2080,liver,01,ITR,guppy,5.18707482993197
CMV,2083,2084,liver,01,ITR,guppy,5.95238095238095
CMV,2087,2088,liver,01,ITR,guppy,7.38636363636364
CMV,2089,2090,liver,01,ITR,guppy,0.862068965517241
CMV,2230,2231,liver,01,promoter,guppy,2.41698501322363
CMV,2265,2266,liver,01,promoter,guppy,6.54761904761905
CMV,2267,2268,liver,01,promoter,guppy,15.1248439450687
CMV,2281,2282,liver,01,promoter,guppy,5.87056128293242
CMV,2293,2294,liver,01,promoter,guppy,5.23255813953488
CMV,2305,2306,liver,01,promoter,guppy,4.04487568223166
CMV,2312,2313,liver,01,promoter,guppy,8.85485287659201
CMV,2319,2320,liver,01,promoter,guppy,10.1581885856079
CMV,2329,2330,liver,01,promoter,guppy,4.36698717948718
CMV,2341,2342,liver,01,promoter,guppy,2.45721149034131
CMV,2359,2360,liver,01,promoter,guppy,9.81492718446602
CMV,2382,2383,liver,01,promoter,guppy,5.19986005422899
CMV,2403,2404,liver,01,promoter,guppy,11.3725490196078
CMV,2452,2453,liver,01,promoter,guppy,2.06185567010309
CMV,2465,2466,liver,01,promoter,guppy,5.12247600132406
CMV,2474,2475,liver,01,promoter,guppy,3.94736842105263
CMV,2486,2487,liver,01,promoter,guppy,7.52688172043011
CMV,2546,2547,liver,01,promoter,guppy,4.35508935508936
CMV,2558,2559,liver,01,promoter,guppy,11.7867867867868
CMV,2577,2578,liver,01,promoter,guppy,4.83641536273115
CMV,2601,2602,liver,01,promoter,guppy,7.40580960598217
CMV,2610,2611,liver,01,promoter,guppy,10.7556935817805
CMV,2622,2623,liver,01,promoter,guppy,7.2890559732665
CMV,2651,2652,liver,01,promoter,guppy,5.20050125313283
CMV,2685,2686,liver,01,promoter,guppy,8.9354200173203
CMV,2703,2704,liver,01,promoter,guppy,10.0782268578879
CMV,2714,2715,liver,01,promoter,guppy,11.7941029485257
CMV,2725,2726,liver,01,promoter,guppy,7.01159420289855
CMV,2735,2736,liver,01,promoter,guppy,3.16901408450704
CMV,2742,2743,liver,01,promoter,guppy,8.69036591014359
CMV,2748,2749,liver,01,promoter,guppy,15.5777777777778
CMV,2775,2776,liver,01,promoter,guppy,4.38863521055302
CMV,2787,2788,liver,01,promoter,guppy,4.49346405228758
CMV,2795,2796,liver,01,promoter,guppy,2.08855053591105
CMV,2831,2832,liver,01,eYFP,guppy,3.64158636026686
CMV,2846,2847,liver,01,eYFP,guppy,9.31490102036018
CMV,2867,2868,liver,01,eYFP,guppy,3.9395505037458
CMV,2876,2877,liver,01,eYFP,guppy,4.91499564080209
